date,advancing_stocks,declining_stocks,total_stocks,URSI
2017-07-20,60,68,152,46.875
2017-07-21,42,88,153,32.30769230769231
2017-07-24,50,80,153,38.46153846153847
2017-07-25,84,37,153,69.42148760330579
2017-07-26,105,25,153,80.76923076923077
2017-07-27,57,67,153,45.96774193548387
2017-07-28,86,39,153,68.8
2017-07-31,71,61,153,53.78787878787878
2017-08-01,70,66,153,51.470588235294116
2017-08-02,52,84,153,38.23529411764706
2017-08-03,79,46,153,63.2
2017-08-04,71,59,153,54.61538461538461
2017-08-07,82,45,153,64.56692913385827
2017-08-08,44,93,153,32.11678832116788
2017-08-09,21,118,153,15.107913669064748
2017-08-10,50,73,153,40.65040650406504
2017-08-11,53,70,153,43.08943089430895
2017-08-14,93,35,152,72.65625
2017-08-15,46,77,152,37.39837398373984
2017-08-16,65,56,152,53.71900826446281
2017-08-17,23,109,152,17.424242424242426
2017-08-18,73,54,154,57.48031496062992
2017-08-21,51,83,154,38.059701492537314
2017-08-22,36,89,154,28.799999999999997
2017-08-23,64,58,154,52.459016393442624
2017-08-24,82,47,154,63.565891472868216
2017-08-25,58,67,154,46.400000000000006
2017-08-28,77,59,154,56.61764705882353
2017-08-29,49,74,154,39.83739837398374
2017-08-30,59,66,154,47.199999999999996
2017-08-31,79,55,154,58.95522388059702
2017-09-01,73,52,154,58.4
2017-09-05,62,71,154,46.616541353383454
2017-09-06,40,76,154,34.48275862068966
2017-09-07,66,59,154,52.800000000000004
2017-09-08,45,76,154,37.1900826446281
2017-09-11,31,98,154,24.031007751937985
2017-09-12,84,39,154,68.29268292682927
2017-09-13,93,35,154,72.65625
2017-09-14,71,51,154,58.19672131147541
2017-09-15,64,55,154,53.78151260504202
2017-09-18,74,48,154,60.65573770491803
2017-09-19,47,84,154,35.87786259541985
2017-09-20,57,62,154,47.89915966386555
2017-09-21,70,56,154,55.55555555555556
2017-09-22,66,55,154,54.54545454545454
2017-09-25,51,81,154,38.63636363636363
2017-09-26,65,68,154,48.87218045112782
2017-09-27,56,73,154,43.41085271317829
2017-09-28,60,72,154,45.45454545454545
2017-09-29,68,55,154,55.28455284552846
2017-10-02,38,97,154,28.14814814814815
2017-10-03,30,105,154,22.22222222222222
2017-10-04,89,30,154,74.78991596638656
2017-10-05,43,78,154,35.53719008264463
2017-10-06,70,56,155,55.55555555555556
2017-10-09,80,59,155,57.55395683453237
2017-10-10,75,49,155,60.483870967741936
2017-10-11,66,57,155,53.65853658536586
2017-10-12,60,70,155,46.15384615384615
2017-10-13,75,46,155,61.98347107438017
2017-10-16,56,75,155,42.74809160305343
2017-10-17,73,65,155,52.89855072463768
2017-10-18,47,88,155,34.81481481481482
2017-10-19,66,61,155,51.96850393700787
2017-10-20,40,93,155,30.075187969924812
2017-10-23,16,120,155,11.76470588235294
2017-10-24,73,54,155,57.48031496062992
2017-10-25,78,50,155,60.9375
2017-10-26,30,99,155,23.25581395348837
2017-10-27,76,55,155,58.01526717557252
2017-10-30,41,92,155,30.82706766917293
2017-10-31,38,93,155,29.00763358778626
2017-11-01,66,74,156,47.14285714285714
2017-11-02,44,86,156,33.84615384615385
2017-11-03,87,42,156,67.44186046511628
2017-11-06,102,36,156,73.91304347826086
2017-11-07,72,54,157,57.14285714285714
2017-11-08,74,59,157,55.639097744360896
2017-11-09,61,71,157,46.21212121212121
2017-11-10,79,54,157,59.3984962406015
2017-11-13,60,77,157,43.79562043795621
2017-11-14,70,68,157,50.72463768115942
2017-11-15,73,61,157,54.47761194029851
2017-11-16,95,46,157,67.37588652482269
2017-11-17,40,88,158,31.25
2017-11-20,68,56,158,54.83870967741935
2017-11-21,58,71,158,44.96124031007752
2017-11-22,85,44,158,65.89147286821705
2017-11-23,67,62,158,51.93798449612403
2017-11-24,103,38,158,73.04964539007092
2017-11-27,100,40,159,71.42857142857143
2017-11-28,50,84,159,37.3134328358209
2017-11-29,83,53,160,61.029411764705884
2017-11-30,80,56,160,58.82352941176471
2017-12-01,86,44,160,66.15384615384615
2017-12-04,99,40,160,71.22302158273382
2017-12-05,39,104,160,27.27272727272727
2017-12-06,53,78,160,40.458015267175576
2017-12-07,66,72,160,47.82608695652174
2017-12-08,56,77,160,42.10526315789473
2017-12-11,23,123,160,15.753424657534246
2017-12-12,57,77,160,42.53731343283582
2017-12-13,58,83,160,41.13475177304964
2017-12-14,104,30,160,77.61194029850746
2017-12-15,96,44,160,68.57142857142857
2017-12-18,96,44,160,68.57142857142857
2017-12-19,52,86,160,37.68115942028986
2017-12-20,75,61,160,55.14705882352941
2017-12-21,52,79,160,39.69465648854962
2017-12-22,62,74,160,45.588235294117645
2017-12-25,51,90,160,36.17021276595745
2017-12-26,92,41,160,69.17293233082707
2017-12-27,59,74,160,44.3609022556391
2017-12-28,90,47,160,65.69343065693431
2017-12-29,75,64,160,53.956834532374096
2018-01-02,99,42,160,70.2127659574468
2018-01-03,83,55,160,60.14492753623188
2018-01-04,112,32,160,77.77777777777779
2018-01-05,40,96,160,29.411764705882355
2018-01-08,93,49,162,65.49295774647888
2018-01-09,96,48,162,66.66666666666666
2018-01-10,91,54,162,62.758620689655174
2018-01-11,72,61,162,54.13533834586466
2018-01-12,48,99,162,32.6530612244898
2018-01-15,90,51,161,63.829787234042556
2018-01-16,53,80,161,39.849624060150376
